,Unnamed: 0,country_code,city,longitude,latitude,Date,endsampling,duration,i131,cs134,cs137,geometry
0,0,SE,RISOE,12.07,55.7,1986-04-27,0,24.0,1.0,0.0,0.24,POINT (12.07 55.7)
1,1,SE,RISOE,12.07,55.7,1986-04-28,0,24.0,0.0046,0.00054,0.00098,POINT (12.07 55.7)
2,2,SE,RISOE,12.07,55.7,1986-04-29,12,12.0,0.0147,0.0043,0.0074,POINT (12.07 55.7)
3,3,SE,RISOE,12.07,55.7,1986-04-29,0,12.0,0.00061,0.0,9e-05,POINT (12.07 55.7)
4,4,SE,RISOE,12.07,55.7,1986-04-30,0,24.0,0.00075,0.0001,0.00028,POINT (12.07 55.7)
5,5,SE,RISOE,12.07,55.7,1986-05-01,0,24.0,0.00053,0.0,0.0002,POINT (12.07 55.7)
6,6,SE,RISOE,12.07,55.7,1986-05-02,0,24.0,0.0176,0.0,0.00022,POINT (12.07 55.7)
7,7,SE,RISOE,12.07,55.7,1986-05-03,0,24.0,0.2239,0.00212,0.00356,POINT (12.07 55.7)
8,8,SE,RISOE,12.07,55.7,1986-05-04,12,12.0,0.41,0.0142,0.0227,POINT (12.07 55.7)
9,9,SE,RISOE,12.07,55.7,1986-05-04,0,12.0,0.264303,0.014342,0.023966,POINT (12.07 55.7)
10,10,SE,RISOE,12.07,55.7,1986-05-05,12,12.0,0.362,0.00965,0.01544,POINT (12.07 55.7)
11,11,SE,RISOE,12.07,55.7,1986-05-05,0,12.0,0.28,0.0046,0.007409999999999998,POINT (12.07 55.7)
12,12,SE,RISOE,12.07,55.7,1986-05-06,12,12.0,0.334,0.0073,0.0124,POINT (12.07 55.7)
13,13,SE,RISOE,12.07,55.7,1986-05-06,0,12.0,0.16399999999999998,0.0039,0.0064,POINT (12.07 55.7)
14,14,SE,RISOE,12.07,55.7,1986-05-07,0,24.0,0.496,0.0824,0.1544,POINT (12.07 55.7)
15,15,SE,RISOE,12.07,55.7,1986-05-11,0,96.0,0.017902,0.007964,0.014449000000000004,POINT (12.07 55.7)
16,16,SE,RISOE,12.07,55.7,1986-05-13,0,48.0,0.004299,0.000464,0.000739,POINT (12.07 55.7)
17,17,SE,RISOE,12.07,55.7,1986-05-14,0,24.0,0.008251999999999999,0.001236,0.002272,POINT (12.07 55.7)
