,Unnamed: 0,id,rated,created_at,last_move_at,turns,victory_status,winner,increment_code,white_id,white_rating,black_id,black_rating,moves,opening_eco,opening_name,opening_ply,diff_rating,abs_diff_rating,higher_rating,higher_rating_won,higher_rating_coded,white_higher_rated,result
5,5,MsoDV9wj,False,1504240000000.0,1504240000000.0,5,draw,draw,10+0,trelynn17,1250,franklin14532,1002,e4 c5 Nf3 Qa5 a3,B27,Sicilian Defense: Mongoose Variation,4,248,248,white,0,1,1,1
21,21,QFCZwY1f,False,1502950000000.0,1502950000000.0,3,resign,white,30+60,shivangithegenius,1094,themannichreaction,1068,d4 e6 Nc3,A40,Horwitz Defense,2,26,26,white,1,1,1,2
47,47,IRYkgI8N,False,1499320000000.0,1499320000000.0,7,resign,white,10+0,adnanraj,1343,shivangithegenius,978,e4 c5 Bc4 Nf6 e5 Ne4 Nf3,B20,Sicilian Defense: Bowdler Attack,3,365,365,white,1,1,1,2
54,54,PBS4FEld,True,1503220000000.0,1503230000000.0,8,resign,white,16+0,wing175,1521,gerfsh,1162,Nf3 e5 Nxe5 Ke7 e4 Kd6 d4 Nc6,A04,Zukertort Opening: Ross Gambit,2,359,359,white,1,1,1,2
55,55,0lDqWVlz,True,1503180000000.0,1503180000000.0,3,resign,white,6+10,caramiecho72,1407,gerfsh,1500,e4 c5 Nc3,B23,Sicilian Defense: Closed Variation,3,-93,93,black,0,0,0,0
135,135,Cmhkui8U,True,1503410000000.0,1503410000000.0,9,resign,white,15+15,mdaboczi,1338,sassou,1277,d4 d5 e3 e6 c4 Bb4+ Nd2 dxc4 Qa4+,D00,Queen's Pawn Game #2,3,61,61,white,1,1,1,2
141,141,X4QqWp8Q,True,1503130000000.0,1503130000000.0,2,resign,black,15+15,pune123,1443,sassou,1204,e4 Nf6,B02,Alekhine Defense,2,239,239,white,0,1,1,0
367,367,D0idNTxu,True,1502640000000.0,1502640000000.0,4,outoftime,black,15+15,rustam9,945,b3nszy,1070,e4 e5 Nf3 Bd6,C40,King's Knight Opening,3,-125,125,black,1,0,0,2
378,378,baOLL2ej,True,1502230000000.0,1502230000000.0,8,outoftime,black,10+0,gabriel_ml,998,rustam9,1016,e4 e5 Nf3 Nc6 c3 Be7 d4 Nf6,C44,Ponziani Opening: Romanishin Variation,6,-18,18,black,1,0,0,2
439,439,37DIkyQP,True,1501820000000.0,1501820000000.0,2,draw,draw,10+0,marianocharly,1641,kyanh,1502,e4 d5,B01,Scandinavian Defense,2,139,139,white,0,1,1,1
460,460,QYc8zif6,True,1503080000000.0,1503080000000.0,2,outoftime,black,5+5,fischerdipper,1646,hooponopono,1795,d4 d5,D00,Queen's Pawn Game,2,-149,149,black,1,0,0,2
568,568,x0M9UzvX,True,1501800000000.0,1501800000000.0,4,resign,black,15+15,skipskipskop,914,hill_j,1141,a4 e5 Ra3 Bxa3,A00,Ware Opening,1,-227,227,black,1,0,0,2
749,749,ApAyKSwj,True,1502560000000.0,1502560000000.0,4,resign,white,8+0,w-j,1758,slon-al,1804,d4 Nf6 c4 e5,A51,Indian Game: Budapest Defense,4,-46,46,black,0,0,0,0
847,847,inyTCeV2,True,1501670000000.0,1501670000000.0,4,mate,black,10+0,duckduckfrog,1527,ducksandcats,1861,f4 e6 g4 Qh4#,A02,Bird Opening,1,-334,334,black,1,0,0,2
862,862,eP09Yv7W,True,1500090000000.0,1500090000000.0,4,mate,black,10+0,duckduckfrog,1527,smartduckduckcow,1882,f4 e6 g4 Qh4#,A02,Bird Opening,1,-355,355,black,1,0,0,2
864,864,V7a3QIoB,True,1499910000000.0,1499910000000.0,4,mate,black,10+0,duckduckfrog,1533,smartduckduckcow,1897,f4 e6 g4 Qh4#,A02,Bird Opening,1,-364,364,black,1,0,0,2
865,865,mzWzFRLc,True,1499910000000.0,1499910000000.0,5,mate,white,10+0,smartduckduckcow,1894,duckduckfrog,1539,e3 f5 Nc3 g5 Qh5#,A00,Van't Kruijs Opening,1,355,355,white,1,1,1,2
