,abs_diff_rating,higher_rating_won,result,higher_rated_white,turns
0,309,1,2,1,13
1,61,0,0,1,16
2,4,0,0,0,61
3,15,0,0,0,61
4,54,1,2,1,95
5,248,0,1,1,5
6,97,1,2,1,33
7,695,1,2,0,9
8,47,0,0,1,66
9,172,1,2,1,119
10,109,1,2,1,39
11,486,1,2,0,38
12,555,1,2,0,60
13,226,1,2,0,31
14,47,0,0,0,31
15,47,0,0,1,43
16,47,1,2,0,52
17,47,0,0,1,66
18,206,1,2,0,101
19,406,1,2,1,25
20,582,1,2,0,14
21,26,1,2,1,3
22,406,1,2,1,17
23,201,1,2,1,36
24,310,1,2,0,13
25,141,0,0,0,69
26,746,1,2,1,43
27,290,0,0,1,54
28,100,1,2,0,53
29,71,1,2,0,66
30,322,0,0,1,64
31,198,0,0,1,64
32,184,1,2,1,54
33,481,1,2,0,21
34,447,1,2,1,11
35,856,1,2,0,19
36,591,1,2,1,28
37,522,1,2,0,22
38,522,1,2,1,37
39,1471,1,2,1,34
40,229,0,1,1,32
41,263,0,0,1,71
42,522,1,2,1,30
43,1465,1,2,1,66
44,522,1,2,1,41
45,522,1,2,1,49
46,522,1,2,0,3
47,365,1,2,1,7
48,1458,1,2,1,35
49,1458,1,2,1,41
50,522,1,2,0,5
51,522,1,2,1,7
52,522,0,0,0,53
53,522,0,0,1,36
54,359,1,2,1,8
55,93,0,0,0,3
56,34,1,2,1,28
57,28,1,2,0,30
58,163,0,0,1,44
59,59,1,2,1,29
60,372,1,2,0,37
61,6,0,0,0,49
62,27,1,2,0,32
63,358,1,2,1,25
64,50,0,0,1,40
65,181,1,2,1,39
66,35,0,0,0,57
67,54,1,2,0,78
68,83,1,2,1,61
69,228,0,0,1,44
70,109,0,0,1,62
71,27,1,2,1,87
72,381,1,2,0,54
73,48,0,0,1,54
74,256,1,2,1,37
75,42,1,2,1,50
76,157,0,0,0,131
77,141,1,2,1,48
78,526,1,2,0,47
79,208,0,0,1,64
80,116,1,2,1,61
81,131,0,0,0,57
82,28,0,0,0,51
83,294,1,2,0,58
84,129,1,2,1,71
85,10,1,2,1,114
86,70,1,2,1,39
87,50,1,2,0,20
88,17,0,0,1,48
89,139,1,2,0,34
90,121,1,2,1,51
91,53,1,2,1,69
92,143,1,2,1,28
93,331,1,2,0,62
94,401,1,2,0,62
95,271,0,0,0,85
96,56,1,2,1,38
97,0,0,0,0,14
98,31,0,1,1,113
99,14,0,0,0,62
100,203,1,2,1,101
101,131,0,0,0,75
102,222,1,2,1,135
103,338,1,2,1,81
104,71,1,2,0,46
105,131,1,2,0,70
106,5,1,2,1,39
107,29,0,0,0,91
108,259,1,2,1,137
109,9,0,0,1,46
110,118,0,0,1,18
111,373,0,0,1,28
112,35,0,0,1,40
113,66,0,0,0,111
114,11,0,0,1,54
115,102,0,0,0,33
116,62,0,0,1,90
117,116,0,0,1,90
118,0,0,0,0,40
119,234,0,0,0,49
120,330,0,0,1,50
121,781,1,2,1,59
122,25,0,0,1,26
123,294,1,2,1,23
124,149,0,0,1,118
125,70,1,2,0,66
126,73,0,1,0,120
127,121,1,2,0,36
128,125,1,2,0,26
129,39,0,0,1,62
130,151,1,2,1,37
131,144,1,2,0,24
132,32,0,0,0,47
133,38,1,2,0,37
134,136,1,2,0,24
135,61,1,2,1,9
136,73,0,0,0,47
137,43,1,2,1,85
138,5,0,0,0,39
139,102,0,0,1,58
140,34,1,2,1,95
141,239,0,0,1,2
142,11,1,2,1,97
