"","X..name","planet_status","orbital_period","orbital_period_error_min","orbital_period_error_max","discovered","updated","publication_status","detection_type","mass_detection_type","radius_detection_type","alternate_names","molecules","star_name","ra","dec","star_sp_type","star_teff","star_detected_disc","star_magnetic_field","star_alternate_names"
"2","11 Com b","Confirmed",326.03,0.32,0.32,2008,"2015-08-21","Published in a refereed paper","Radial Velocity","","","","","11 Com",185.1791667,17.7927778,"G8 III",4742,"","",""
"3","11 Oph b","Confirmed",730000,365000,365000,2007,"2016-02-26","Published in a refereed paper","Imaging","","","","","11 Oph",245.6041667,-24.0872222,"M9",2375,"","",""
"4","11 UMi b","Confirmed",516.22,3.25,3.25,2009,"2009-08-13","Published in a refereed paper","Radial Velocity","","","","","11 UMi",229.275,71.8238889,"K4III",4340,"","",""
"5","14 And b","Confirmed",185.84,0.23,0.23,2008,"2014-08-27","Published in a refereed paper","Radial Velocity","","","","","14 And",352.8208333,39.2361111,"K0III",4813,"","",""
"6","14 Her b","Confirmed",1773.4,2.5,2.5,2002,"2014-08-27","Published in a refereed paper","Radial Velocity","","","","","14 Her",242.5958333,43.8216667,"K0 V",5311,"","",""
"7","16 Cyg B b","Confirmed",799.5,0.6,0.6,1996,"2014-08-27","Published in a refereed paper","Radial Velocity","","","","","16 Cyg B",295.4625,50.5175,"G2.5 V",5766,"","",""
"8","18 Del b","Confirmed",993.3,3.2,3.2,2008,"2014-08-27","Published in a refereed paper","Radial Velocity","","","","","18 Del",314.6083333,10.8391667,"G6III",4979,"","",""
"11","1SWASP J1407 b","Confirmed",3725,900,900,2012,"2014-10-29","Published in a refereed paper","Primary Transit","Radial Velocity","","","","1SWASP J1407",211.950000016,-39.761944469,"",4400,"","",""
"12","24 Sex b","Confirmed",452.8,4.5,2.1,2010,"2014-05-23","Published in a refereed paper","Radial Velocity","","","","","24 Sex",155.8666667,0.9022222,"G5",5098,"","",""
"13","24 Sex c","Confirmed",883,14,32,2010,"2014-05-23","Published in a refereed paper","Radial Velocity","","","","","24 Sex",155.8666667,0.9022222,"G5",5098,"","",""
"18","2M 0746+20 b","Confirmed",4640,25,25,2010,"2012-01-20","Published in a refereed paper","Imaging","","","","","2M 0746+20",116.6791667,20.0088889,"",2205,"","",""
"22","2M 2140+16 b","Confirmed",7340,584,584,2010,"2012-01-20","Published in a refereed paper","Imaging","","","","","2M 2140+16",325.1208333,16.4216667,"",2300,"","",""
"23","2M 2206-20 b","Confirmed",8686,69.4,69.4,2010,"2012-01-20","Published in a refereed paper","Imaging","","","","","2M 2206-20",331.5958333,-20.785,"",2350,"","",""
"30","30 Ari B b","Confirmed",335.1,2.5,2.5,2009,"2009-11-27","Published in a refereed paper","Radial Velocity","","","","","30 Ari B",39.2416667,24.6480556,"F6V",6484,"","",""
"31","38 Vir b","Confirmed",825.9,6.2,6.2,2016,"2017-02-20","Published in a refereed paper","Primary Transit","Radial Velocity","","HD 111998 b","","38 Vir",193.296489462,-3.55309929126,"F6 V",6557,"","","HIP 62875, HD 111998"
"32","4 Uma b","Confirmed",269.3,1.96,1.96,2007,"2014-08-27","Published in a refereed paper","Radial Velocity","","","","","4 Uma",130.0541667,64.3280556,"K1III",4415,"","",""
"33","42 Dra b","Confirmed",479.1,6.2,6.2,2009,"2009-03-23","Published in a refereed paper","Radial Velocity","","","","","42 Dra",276.4958333,65.5636111,"K1.5III",4200,"","",""
"34","47 Uma b","Confirmed",1078,2,2,1996,"2014-08-27","Published in a refereed paper","Radial Velocity","","","","","47 Uma",164.8708333,40.4294444,"G0V",5892,"","",""
"35","47 Uma c","Confirmed",2391,87,100,2001,"2014-08-27","Published in a refereed paper","Radial Velocity","","","","","47 Uma",164.8708333,40.4294444,"G0V",5892,"","",""
"36","47 Uma d","Confirmed",14002,5095,4018,2010,"2014-08-27","Published in a refereed paper","Radial Velocity","","","","","47 Uma",164.8708333,40.4294444,"G0V",5892,"","",""
"38","51 Peg b","Confirmed",4.2308,3.72905e-05,3.72905e-05,1995,"2017-01-26","Published in a refereed paper","Radial Velocity","Radial Velocity","Theoretical","","CO, H2O","51 Peg",344.3625,20.7686111,"G2 IV",5793,"","",""
"39","55 Cnc b","Confirmed",14.65314,0.00095,9e-04,1996,"2017-06-11","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","55 Cnc",133.1541667,28.3338889,"K0IV-V",5196,"","",""
"40","55 Cnc c","Confirmed",44.373,0.018,0.02,2002,"2017-06-11","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","55 Cnc",133.1541667,28.3338889,"K0IV-V",5196,"","",""
